price,yes_win_rate,yes_mispricing,yes_n,yes_contracts,no_win_rate,no_mispricing,no_n,no_contracts,implied_prob
1,0.008318370610768129,-0.0016816293892318711,1522242,436294819.0,0.013970271285973428,0.003970271285973428,958224,316287344.0,0.01
2,0.015749670821831794,-0.0042503291781682065,1315467,269843989.0,0.019880668678375787,-0.00011933132162421367,868865,215558997.0,0.02
3,0.026918290722637312,-0.003081709277362687,1155382,232270320.0,0.03004102136426536,4.1021364265359656e-05,817416,186796079.0,0.03
4,0.036280557881441,-0.0037194421185589993,862058,181152038.0,0.04308751382385102,0.003087513823851022,705999,169085481.0,0.04
5,0.041854743024310574,-0.008145256975689429,874442,173138012.0,0.045837467908324304,-0.004162532091675698,770427,181951390.0,0.05
6,0.054231880076655865,-0.005768119923344132,771232,150944223.0,0.0564482015513174,-0.0035517984486826,724870,172313674.0,0.06
7,0.06632147213812133,-0.0036785278618786804,717956,134348209.0,0.06300309863036617,-0.006996901369633837,714109,163069789.0,0.07
8,0.08359802144906202,0.0035980214490620166,674471,125179087.0,0.08746024544854182,0.007460245448541819,684481,161470505.0,0.08
9,0.08364425846991311,-0.006355741530086889,620323,112938762.0,0.0912854422287925,0.0012854422287924966,673128,154340075.0,0.09
10,0.0971632713101964,-0.0028367286898036,713896,124038228.0,0.10120419248459935,0.0012041924845993396,775929,166854471.0,0.1
11,0.10351179811121008,-0.006488201888789916,637074,108998464.0,0.1161145763617784,0.0061145763617783955,741136,159493352.0,0.11
12,0.12010125495584813,0.00010125495584813182,632061,107575179.0,0.12378863951816549,0.003788639518165493,756558,162531821.0,0.12
13,0.12927533884154016,-0.0007246611584598439,587586,100275707.0,0.13435876315671502,0.004358763156715018,703067,149702167.0,0.13
14,0.13519875055815847,-0.004801249441841543,562929,97947096.0,0.13727538366053807,-0.002724616339461944,721432,158035865.0,0.14
15,0.15368738055596431,0.0036873805559643202,640573,106290887.0,0.16312204592001087,0.013122045920010872,769322,157740947.0,0.15
16,0.16068533898235213,0.0006853389823521239,582750,96058216.0,0.16385905003265755,0.003859050032657546,759955,154455857.0,0.16
17,0.15995331066643903,-0.010046689333560982,541832,90167918.0,0.15933799738512783,-0.010662002614872185,730640,146254951.0,0.17
18,0.17379505973541176,-0.006204940264588232,536502,88389112.0,0.1715760423908938,-0.008423957609106192,752724,149740084.0,0.18
19,0.19283321553271537,0.002833215532715372,511449,84921739.0,0.19552785485043533,0.005527854850435332,781069,154645562.0,0.19
20,0.19860852340228374,-0.001391476597716268,604139,95868806.0,0.23196044098628718,0.03196044098628717,887384,170793338.0,0.2
21,0.22244190531415595,0.012441905314155954,552252,86185766.0,0.24586985156621274,0.03586985156621275,865576,166097965.0,0.21
22,0.23175230603007607,0.01175230603007607,532833,86335279.0,0.21986283094757617,-0.0001371690524238356,845819,159753965.0,0.22
23,0.2329555017929774,0.0029555017929773775,510821,84008868.0,0.22500104492987127,-0.0049989550701287355,853922,162786044.0,0.23
24,0.2383586623832659,-0.001641337616734101,498148,82997915.0,0.2562122948070639,0.01621229480706393,851602,161684294.0,0.24
